,revenue
0,119946358
1,44030246
2,209154322
3,21134374
4,112343513
5,129832389
6,5849647
7,46616067
8,116019547
9,5741608
10,11466088
11,14947
12,48482
13,223003
14,56489558
15,268431
16,15500000
17,319285
18,26488734
19,2640850
20,180590
21,11000000
22,4300000
23,1100000
24,2003822
25,2850000
26,156974557
27,240978
28,36565280
29,16324573
30,28208
31,284139100
32,1296937
33,130786397
34,75715436
35,36764313
36,13130349
37,67631903
38,13000000
39,61141030
40,6455530
41,12902790
42,3370574
43,16136
44,36606743
45,7800000
46,314195
47,85416905
48,9479718
49,26055
50,71000000
51,311312624
52,43848069
53,46474
54,16209459
55,11990401
56,8000000
57,83761844
58,72179579
59,37915971
60,23000000
61,71009334
62,17986781
63,30411183
64,16974459
65,128388320
66,95714875
67,16217773
68,1832541
69,30353232
70,100000000
71,36800000
72,66468332
73,2801508
74,1829917
75,16000000
76,177841558
77,9323833
78,939101
79,5000000
80,163442937
81,197687603
82,8176544
83,13275000
84,109130
85,34153101
86,429766
87,16980098
88,2334228
89,21486757
90,22697691
91,8349430
92,35763605
93,14010832
94,33579813
95,7191399
96,66821036
97,10166502
98,32204030
99,7936012
100,41819064
101,1697294
102,1500000
103,86175291
104,5367030
105,23727301
106,10652498
107,173066
108,268426634
109,1553826
110,17671101
111,50548152
112,152500343
113,44038000
114,60641
115,21000000
116,4069826
117,3384747
118,2387127
119,30536013
120,160602194
121,3923970
122,71561644
123,549368315
124,20719451
125,966878
126,85446075
127,3342697
128,11203026
129,165333180
130,170832
131,67347013
132,25345000
133,195312802
134,1492523
135,127251
136,18803648
137,48752
138,5684789
139,786636033
140,250649836
141,25928721
142,50907422
143,1878561
144,10571408
145,530048
146,8
147,35856053
148,100086793
149,6000000
150,38955598
151,232324128
152,82087155
153,126150
154,163000
155,101332962
156,21890845
157,5000000
158,117235147
159,123182
160,30553394
161,66132626
162,2627209
163,72527595
164,8362969
165,180274123
166,24078196
167,1027757
168,41627431
169,6775121
170,3218666
171,1519557910
172,357852395
173,183018522
174,12520799
175,4314688
176,19978961
177,32230907
178,14743391
179,22433275
180,2270000
181,18130000
182,52293982
183,186053725
184,42333295
185,84500122
186,12000000
187,20666
188,22034832
189,21621000
190,106371651
191,54249294
192,13555988
193,243637091
194,5588800
195,27400000
196,7800000
197,447784
198,27793200
199,109502303
200,18253415
201,350170057
202,5765562
203,4600000
204,1055287
205,2411594
206,136000000
207,309492681
208,87416021
209,1151330
210,887029
211,832735
212,111996
213,16928137
214,1625847
215,5979011
216,59209
217,70200000
218,486937
219,544476
220,4152230
221,22471595
222,17768757
223,36400360
224,21786738
225,93282604
226,4400000
227,11806119
228,14000000
229,30399676
230,1999955
231,186438883
232,1390172
233,102308889
234,43455230
235,194720
236,10499694
237,30226144
238,192330738
239,100
240,65663276
241,92374674
242,159773545
243,1494399
244,4631
245,25605015
246,1133031
247,147080413
248,210000000
249,113374103
250,1803009
251,8373585
252,266000000
253,83080890
254,22540359
255,286201
256,41895491
257,471222889
258,26096852
259,106269971
260,355237933
261,57469467
262,39300000
263,49579269
264,75781642
265,500
266,28451622
267,32287044
268,170268750
269,252434250
270,77516304
271,2691899
272,114660784
273,63781810
274,152930623
275,3468423
276,77745568
277,47000000
278,3983997
279,8533973
280,17300889
281,152036382
282,62882090
283,33082548
284,108047131
285,46152411
286,224511319
287,28061343
288,4710749
289,80551
290,44000000
291,5300000
292,199436
293,11798616
294,3099314
295,6482195
296,6101046
297,72178895
298,1234254
299,23619609
300,973525
301,1982505
302,42776760
303,33697647
304,6193901
305,7424
306,72266306
307,3919254
308,117719158
309,39598448
310,190320568
311,70
312,5010362
313,921000
314,1163967
315,100202
316,12342632
317,50892160
318,7000000
319,356830601
320,57915972
321,42365581
322,961000000
323,34786960
324,136150434
325,17218080
326,365522
327,22886222
328,20908467
329,163733697
330,23800000
331,187349
332,179943
333,2628241
334,605562
335,1644060
336,10878107
337,333011068
338,770706
339,1980338
340,23570541
341,1334173
342,80936232
343,30668
344,2119994
345,25
346,204660
347,2000000
348,76514050
349,3769990
350,1600000
351,3696232
352,1103757
353,54819301
354,89456761
355,11588205
356,16905
357,34585416
358,933959197
359,34967437
360,3916303
361,25739015
362,5900000
363,46221189
364,46069568
365,50888000
366,325756637
367,10000000
368,43471
369,16002420
370,25000
371,8887603
372,29400000
373,4235151
374,25442939
375,23000000
376,50068310
377,9400000
378,473226958
379,95000000
380,5100000
381,230685453
382,598645
383,125728258
384,3919731
385,12277096
386,142817992
387,244386864
388,4491986
389,485772
390,6804016
391,24922237
392,31063038
393,404785
394,217022588
395,6321392
396,34742066
397,1060056
398,34560577
399,570000
400,1500000
401,376597
402,68514844
403,1200627
404,152427960
405,16093651
406,1469
407,1001437
408,15504
409,35057696
410,113006880
411,3000000
412,68915888
413,1548955
414,11000000
415,96889998
416,500000
417,694497
418,8247943
419,56308881
420,2608000
421,527068851
422,12416686
423,129540499
424,95226116
425,261317921
426,16491080
427,11411644
428,331816
429,538000
430,15369573
431,3317662
432,59468275
433,11838218
434,453079
435,24600832
436,56359980
437,2500431
438,142851197
439,589244
440,343786
441,6792000
442,1250712
443,57284237
444,5438927
445,1258000
446,27500000
447,244527583
448,115605
449,3020784
450,105834556
451,33053559
452,645186
453,20455276
454,11000
455,39768000
456,637769
457,32392047
458,30102717
459,389503
460,4001121
461,203427584
462,28641776
463,47301471
464,3500605
465,155760117
466,63463
467,1079726
468,30448000
469,81272766
470,119563
471,116700000
472,4000000
473,8266343
474,2293798
475,23000
476,187716
477,25000000
478,91036760
479,13418091
480,1072602
481,31000
482,20275812
483,1751330
484,102820008
485,38307627
486,11947954
487,5099316
488,39673162
489,362637473
490,31148328
491,87784194
492,34705850
493,170000
494,347325802
495,18535191
496,56574
497,35456
498,96188903
499,3867000
500,84565230
501,183293131
502,167977596
503,42792561
504,2585639
505,14961069
506,587615
507,5926128
508,3533227
509,149705852
510,1725381
511,53898845
512,229400000
513,111300
514,1373728
515,165335153
516,18626419
517,103891409
518,62788218
519,11276
520,144633
521,29907685
522,215529201
523,171760
524,20957001
525,900000
526,1718328
527,532654
528,2450846
529,15
530,19516000
531,41410568
532,3462
533,1614266
534,16627188
535,13000000
536,11000000
537,2616503
538,6538177
539,38748395
540,31670620
541,44352417
542,680224
543,771499
544,80547866
545,10068
546,25900
547,2506446
548,15240456
549,37598
550,29918745
551,11
552,32709423
553,441809770
554,28460702
555,602042
556,33000337
557,15656193
558,19595031
559,27900000
560,218613188
